2026-05-13 09:42:23 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:23 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Janta Hospital -FBD: 2 → 3
2026-05-13 09:42:24 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:24 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:24 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:24 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Santosh Hospital -FBD
2026-05-13 09:42:24 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094224_pre_inv_inc_Santosh_Hospital__.xlsx
2026-05-13 09:42:24 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:25 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Santosh Hospital -FBD: 2 → 3
2026-05-13 09:42:26 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:26 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:26 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:13:28 | INFO    | lab_billing.ui.op1_screen      | Op1 start: input=C:/Users/anike/Downloads/AMRITA LAB CREDIT REPORT - 2026-04-11T174832.161 Mar026 HIS (2).xlsx
2026-05-13 10:13:28 | INFO    | lab_billing.core.csv_reader    | HIS export loaded: source=excel, rows=507, path=C:/Users/anike/Downloads/AMRITA LAB CREDIT REPORT - 2026-04-11T174832.161 Mar026 HIS (2).xlsx
2026-05-13 10:13:33 | INFO    | lab_billing.core.batch_store   | Batch session saved: d:\lab_billing_project v3\output\batch_sessions\batch_20260513_101328\batch_session.json
2026-05-13 10:16:29 | INFO    | lab_billing.ui.op2_screen      | Op2 start (batch)
2026-05-13 10:16:30 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Healink Hospital-FBD
2026-05-13 10:16:30 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101630_pre_inv_inc_Healink_Hospital_F.xlsx
2026-05-13 10:16:30 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:31 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Healink Hospital-FBD: 3 → 4
2026-05-13 10:16:31 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:31 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:31 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
